都道府県,市町村名,役所名,lon,lat
熊本県,人吉市,人吉市役所,130.762554,32.210038
沖縄県,北谷町,北谷町役場,127.763901,26.320069
沖縄県,北中城村,北中城村役場,127.793027,26.301079
沖縄県,中城村,中城村役場,127.791146,26.267379
沖縄県,西原町,西原町役場,127.758819,26.222856
沖縄県,金武町,金武町役場,127.926011,26.456137
沖縄県,伊江村,伊江村役場,127.807014,26.71349
沖縄県,読谷村,読谷村役場,127.744424,26.396154
沖縄県,嘉手納町,嘉手納町役場,127.75538,26.361723
沖縄県,今帰仁村,今帰仁村役場,127.972739,26.682527
沖縄県,本部町,本部町役場,127.898175,26.658035
沖縄県,恩納村,恩納村役場,127.85357,26.497502
沖縄県,宜野座村,宜野座村役場,127.975615,26.481585
沖縄県,南城市,南城市役所,127.766922,26.144402
沖縄県,国頭村,国頭村役場,128.177907,26.745638
沖縄県,大宜味村,大宜味村役場,128.120159,26.701712
沖縄県,東村,東村役場,128.15687,26.633284
沖縄県,多良間村,多良間村役場,124.701693,24.669449
沖縄県,与那国町,与那国町役場,123.004496,24.468034
沖縄県,伊平屋村,伊平屋村役場,127.96862,27.039169
沖縄県,伊是名村,伊是名村役場,127.941226,26.928305
沖縄県,久米島町,久米島町役場,126.805021,26.340669
沖縄県,八重瀬町,八重瀬町役場,127.742675,26.121875
沖縄県,粟国村,粟国村役場,127.226965,26.582431
沖縄県,渡名喜村,渡名喜村役場,127.141122,26.37211
沖縄県,南大東村,南大東村役場,131.231872,25.828903
沖縄県,北大東村,北大東村役場,131.298917,25.945712
沖縄県,与那原町,与那原町役場,127.754794,26.199502
沖縄県,南風原町,南風原町役場,127.728554,26.191122
沖縄県,渡嘉敷村,渡嘉敷村役場,127.364289,26.197331
沖縄県,座間味村,座間味村役場,127.303205,26.228949
鹿児島県,鹿児島市,十島村役場,130.560588,31.593157
鹿児島県,鹿屋市,鹿屋市役所,130.852223,31.378268
鹿児島県,枕崎市,枕崎市役所,130.296991,31.272922
鹿児島県,阿久根市,阿久根市役所,130.192622,32.014364
宮崎県,日之影町,日之影町役場,131.388112,32.653825
宮崎県,五ヶ瀬町,五ヶ瀬町役場,131.196247,32.682915
鹿児島県,鹿児島市,鹿児島市役所,130.557339,31.596789
鹿児島県,鹿児島市,三島村役場,130.560735,31.594533
宮崎県,諸塚村,諸塚村役場,131.330319,32.512184
宮崎県,椎葉村,椎葉村役場,131.157554,32.466712
宮崎県,美郷町,美郷町役場,131.423106,32.440256
宮崎県,高千穂町,高千穂町役場,131.307871,32.711651
宮崎県,木城町,木城町役場,131.473354,32.163784
宮崎県,川南町,川南町役場,131.525816,32.192009
宮崎県,都農町,都農町役場,131.55969,32.256434
宮崎県,門川町,門川町役場,131.648722,32.46979
鹿児島県,南九州市,南九州市役所,130.441623,31.378251
鹿児島県,伊佐市,伊佐市役所,130.612934,32.057152
鹿児島県,姶良市,姶良市役所,130.627758,31.728213
鹿児島県,さつま町,さつま町役場,130.45534,31.906331
鹿児島県,いちき串木野市,いちき串木野市役所,130.271934,31.714542
鹿児島県,南さつま市,南さつま市役所,130.323494,31.41657
鹿児島県,志布志市,志布志市役所,131.045349,31.495447
鹿児島県,奄美市,奄美市役所,129.49378,28.377273
鹿児島県,薩摩川内市,薩摩川内市役所,130.30395,31.813486
鹿児島県,日置市,日置市役所,130.402436,31.633709
鹿児島県,曽於市,曽於市役所,131.019255,31.653622
鹿児島県,霧島市,霧島市役所,130.763136,31.741015
鹿児島県,出水市,出水市役所,130.352647,32.090458
鹿児島県,指宿市,指宿市役所,130.633118,31.252805
鹿児島県,西之表市,西之表市役所,130.997035,30.732453
鹿児島県,垂水市,垂水市役所,130.70093,31.492758
鹿児島県,瀬戸内町,瀬戸内町役場,129.314734,28.146484
鹿児島県,龍郷町,龍郷町役場,129.589355,28.4133
鹿児島県,喜界町,喜界町役場,129.940035,28.316838
鹿児島県,徳之島町,徳之島町役場,129.018504,27.726621
鹿児島県,南種子町,南種子町役場,130.900867,30.413916
鹿児島県,屋久島町,屋久島町役場,130.665043,30.371155
鹿児島県,大和村,大和村役場,129.395262,28.358076
鹿児島県,宇検村,宇検村役場,129.297208,28.280773
鹿児島県,錦江町,錦江町役場,130.787485,31.243572
鹿児島県,南大隅町,南大隅町役場,130.768061,31.217205
鹿児島県,肝付町,肝付町役場,130.945223,31.344362
鹿児島県,中種子町,中種子町役場,130.958847,30.532821
鹿児島県,長島町,長島町役場,130.176919,32.19932
鹿児島県,湧水町,湧水町役場,130.721025,31.951654
鹿児島県,大崎町,大崎町役場,131.005592,31.429102
鹿児島県,東串良町,東串良町役場,130.973339,31.38579
沖縄県,沖縄市,沖縄市役所,127.805694,26.334354
沖縄県,豊見城市,豊見城市役所,127.668883,26.161026
沖縄県,うるま市,うるま市役所,127.85748,26.379151
沖縄県,宮古島市,宮古島市役所,125.281162,24.80549
沖縄県,石垣市,竹富町役場,124.154437,24.339763
沖縄県,浦添市,浦添市役所,127.721804,26.245816
沖縄県,名護市,名護市役所,127.977474,26.591555
沖縄県,糸満市,糸満市役所,127.665823,26.123542
鹿児島県,与論町,与論町役場,128.414835,27.04853
沖縄県,那覇市,那覇市役所,127.679218,26.212295
沖縄県,宜野湾市,宜野湾市役所,127.778637,26.281581
沖縄県,石垣市,石垣市役所,124.155539,24.340666
鹿児島県,天城町,天城町役場,128.897749,27.81166
鹿児島県,伊仙町,伊仙町役場,128.937584,27.673583
鹿児島県,和泊町,和泊町役場,128.655253,27.392559
鹿児島県,知名町,知名町役場,128.573732,27.333676
広島県,大竹市,大竹市役所,132.222361,34.237952
広島県,東広島市,東広島市役所,132.743746,34.426787
広島県,廿日市市,廿日市市役所,132.331541,34.348416
広島県,安芸高田市,安芸高田市役所,132.703977,34.666099
広島県,福山市,福山市役所,133.36234,34.485927
広島県,府中市,府中市役所,133.236323,34.568349
広島県,三次市,三次市役所,132.85179,34.805627
広島県,庄原市,庄原市役所,133.017264,34.857743
広島県,呉市,呉市役所,132.565805,34.249254
広島県,竹原市,竹原市役所,132.907091,34.341794
広島県,三原市,三原市役所,133.078525,34.39747
広島県,尾道市,尾道市役所,133.204966,34.408891
岡山県,久米南町,久米南町役場,133.960647,34.929179
岡山県,美咲町,美咲町役場,133.958149,34.997967
岡山県,吉備中央町,吉備中央町役場,133.6935,34.863404
広島県,広島市,広島市役所,132.455337,34.385253
山口県,山口市,山口市役所,131.473511,34.178178
山口県,萩市,萩市役所,131.399104,34.408107
山口県,防府市,防府市役所,131.562627,34.051756
山口県,下松市,下松市役所,131.870317,34.015038
広島県,世羅町,世羅町役場,133.056631,34.586837
広島県,神石高原町,神石高原町役場,133.247642,34.703654
山口県,下関市,下関市役所,130.941459,33.957828
山口県,宇部市,宇部市役所,131.246761,33.951623
広島県,坂町,坂町役場,132.513639,34.341282
広島県,安芸太田町,安芸太田町役場,132.227141,34.576731
広島県,北広島町,北広島町役場,132.538427,34.674541
広島県,大崎上島町,大崎上島町役場,132.914963,34.269552
広島県,江田島市,江田島市役所,132.443794,34.222941
広島県,府中町,府中町役場,132.504544,34.392589
広島県,海田町,海田町役場,132.536155,34.372159
広島県,熊野町,熊野町役場,132.584604,34.335783
山口県,阿武町,阿武町役場,131.47136,34.503352
徳島県,徳島市,徳島市役所,134.554713,34.070234
徳島県,鳴門市,鳴門市役所,134.6088,34.17259
徳島県,小松島市,小松島市役所,134.590603,34.004713
山口県,和木町,和木町役場,132.220405,34.202408
